ementa;assunto_agrupado
licitação fragmentação de despesas irregularidades repercussão negativa a existência de despesas relacionadas com o mesmo objeto realizadas de modo contínuo e de forma fragmentada cujo somatório ultrapassa o limite fixado para dispensa de licitação previsto na lei n 8 666 93 constitui falha que influencia negativamente no julgamento das contas a anexação de processo de dispensa com irregularidades em publicação contribui para o não saneamento da ocorrência em tela;LICITACAO
representação ausência de publicação no diário oficial dos municípios de convocação para nova sessão de continuidade do certame exigência ilegal de registro no conselho regional de odontologia cro omissão no recebimento de impugnação ao edital enviado pelo representante dentro do prazo legal na ata constou que a sessão foi suspensa para análise das propostas apresentadas e que posteriormente seria feita uma nova convocação para continuidade daquela com a devida publicação no diário oficial dos municípios em data a ser definida pelo pregoeiro e equipe de apoio contudo a licitação foi finalizada no sistema licitações web no dia 24 01 2017 porém não constou publicação de convocação para nova sessão referente a esse certame no diário oficial dos municípios conforme determinado na ata da sessão que foi suspensa no tocante a alteração do edital exigindo o registro da empresa no conselho regional de odontologia importante ressaltar que essa imposição vicia o instrumento convocatório e fere a ampla competitividade do certame uma vez que não há amparo legal em relação a afirmação da defesa de que o representante não pediu esclarecimentos ou impugnou o edital consta nos autos pç 02 fls 110 e mail enviado pelo escritório júlio césar ferreira advocacia comissão de licitação comisaolicitacao hotmail com mesmo e mail cadastrado no aviso constante no sistema licitações web no dia 23 12 2016 com o pedido de impugnação do edital dentro do prazo legal de 02 dias úteis anteriores abertura dos envelopes;LICITACAO
agravo regimental pregão eletrônico software restrição competitividade direcionamento anulação novo procedimento licitatório desobediência lei n 8666 93 a simples mudança do prazo estabelecido no edital não afastou a ilegalidade a exigência integral das funcionalidades do software antes da contratação pode implicar em restrição da competitividade e direcionamento do certame licitatório;LICITACAO
gestor municipal denúncia modalidade de licitação inadequada ao objeto ausência de projeto básico 1 a modalidade sistema de registro de preços não é adequada para a realização de obras pois fere o art 1 da lei n 10 520 2002 2 a ausência de projeto básico na composição de procedimentos licitatórios para execução de obras afronta o art 6 ix c c art 7 2 i e art 40 2 i da lei n 8 666 93;LICITACAO
prestação de contas impropriedades em procedimentos licitatórios repercussão negativa os pareceres técnicos ou jurídicos emitidos sobre a dispensa ou inexigibilidade de licitação devem ser previamente examinados e aprovados por assessoria jurídica da administração;LICITACAO
auditoria falhas em contratação por inexigibilidade de licitação ausencia de justificativa dos preços contratados com shows artísticos publicação intempestiva dos contratos ausência de detalhamento dos orçamentos ausencia de publicação na imprensa oficial ds processos de inexigibilidade desrespeito s fases da despesa pública inobservância do princípio de segregação das funções 1 a contratação de profissional do setor artístico deve ser instruída com a devida justificativa de preços com vistas a comprovar que o preço contratado é compatível com o praticado no mercado nos termos do artigo 26 paragrafo único inciso iii da lei n 8 666 93 2 a lei n 4 320 64 é categórica ao vedar a realização de despesa sem prévio empenho;LICITACAO
licitação sessões presenciais em período de quarentena realização sem competitividade necessária procedente 1 o gestor deverá solicitar autorização conforme art 4 da resolução cgfr n 02 utilizar preferencialmente o rdc eletrônico se não optar pelo rdc adotar dentre outras os termos da nota técnica tce pi n 001 2020e parecer técnico cnptc n 02 2020;LICITACAO
prestação de contas despesas não licitadas com aquisição de banda artística irregularidade 1 não havendo comprovação de inviabilidade de competição nem da consagração do artista pela crítica especializada ou pela opinião pública constitui afronta ao disposto no art 25 iii da lei n 8 666 93;LICITACAO
licitação pessoal contrato serviço prestado em desacordo com edital de licitação acúmulo irregular de cargos públicos ausência de publicação de contrato e aditivo regularidade com ressalvas 1 a constituição federal contempla no inciso xvi combinado com o inciso xvii do artigo 37 a regra que proíbe a acumulação remunerada de cargos empregos ou funções tanto na administração direta como na indireta assim como trata a lc estadual n 13 1994 2 a publicação resumida do instrumento de contrato ou de seus aditamentos na imprensa oficial que é condição indispensável para sua eficácia será providenciada pela administração até o quinto dia útil do mês seguinte ao de sua assinatura para ocorrer no prazo de vinte dias daquela data qualquer que seja o seu valor ainda que sem ônus ressalvado o disposto no art 26 desta lei;LICITACAO
prestação de contas do hospital local júlio borges de macêdo curimatá pi exercício financeiro de 2017 relação ao atraso no envio de peças e no cadastramento de licitação realização de despesas sem procedimento licitatório irregularidade na contratação de assessoria jurídica ausência de demonstração da singularidade dos serviços ou da notória especialização do contratado 1 ao atraso no envio de peças e no cadastramento de licitação o atraso foi confirmado mas relativamente pequeno assim não foi verificado prejuízo relevante que pudesse comprometer a análise destas contas tendo em vista terem sido poucos os documentos enviados extemporaneamente 2 realização de despesas sem procedimento licitatório no total de 08 deve se registrar que o valor total das despesas contabilizado foi relevante e ultrapassou em muito o limite de dispensas de licitação todavia a defesa logrou êxito pelo menos em parte ao demonstrar que enviou ofícios a sead acerca da necessidade de algumas dessas aquisições cujo percentual de despesas solicitadas comunicadas secretaria de saúde foi de aproximadamente 44 do total de gastos sem licitação 3 irregularidade na contratação de assessoria jurídica foi definido pelo supremo tribunal federal no julgamento dos recursos extraordinários 656 558 com repercussão geral reconhecida e 610 523 que considerando a constitucionalidade da regra inserta no inciso ii do art 25 da lei n 8 666 93 que estabelece ser inexigível a licitação para a contratação dos serviços técnicos enumerados no art 13 dessa lei desde que sejam preenchidos os requisitos nela estabelecidos não haja norma impeditiva contratação nesses termos e que eles tenham natureza singular e sejam prestados por profissionais ou empresas de notória especialização inclusive no que tange execução de serviços de consultoria patrocínio ou defesa de causas judiciais ou administrativas 4 quanto questão da contratação de prestadores de serviços 01 médico e 01 enfermeiro a quantidade identificada nesses autos nem justificaria um concurso a curto prazo etc faltou ao gestor também no mínimo a realização de um processo seletivo;LICITACAO
licitação ausência de licitação para aquisição de materiais cirurgícos e outros regularidade com ressalvas as obras serviços inclusive de publicidade compras alienações concessões permissões e locações da administração pública quando contratadas com terceiros serão necessariamente precedidas de licitação ressalvadas as hipóteses previstas em lei conforme art 37 xxi cf 88 c c art 2 da lei n 8 666 93;LICITACAO
licitação irregulariades em procedimento licitatório procedência parcial aplicação de multa comunicação notificação 1 ausência de projeto básico ou documento que o valha elementos do projeto básico violação aos art 6 ix da lei federal n 8 666 93 e arts 4 e 14 caput do art 18 da lei federal n 8 987 95 2 ilegitimidade na concessão de uso de bem público o qual se tem concessão de uso de imóvel público pertencente a outra entidade que não a responsável pela licitação processo de averbação do registro de propriedade pendente art 15 do decreto lei n 3 365 41 3 comissão especial de licitação composta em desacordo com as disposições da lei federal n 8 666 93 c c a lei federal n 8 987 95 deficiência no controle interno 4 cláusulas do edital restritivas da competitividade práticas de atos da comissão de licitação tendentes a restringir a competição infringindo o art 37 inciso xxi da cf 1988 c c o art 3 caput da lei n 8 666 93 5 descumprimento de norma cogente no ordenamento jurídico art 225 c c resolução conama n 237 97;LICITACAO
contas da câmara municipal irregularidades em procedimentos licitatórios a contratação por inexigibilidade de licitação com fundamento no art 25 ii da lei 8 666 93 deve observar alguns requisitos quais sejam : a necessidade de procedimento administrativo formal b notória especialização do profissional a ser contratado c natureza singular do serviço d impossibilidade de prestação do serviço pelo quadro de servidores do contratante e justificativa de preço;LICITACAO
denúncia licitação desclassificação por imposição dispensada pela legislação intempestividade do cadastro no sistema licitações web a exigência do certificado de registro cadastral constitui um fator impeditivo para que as empresas que nunca participaram de licitações no órgão ultrapassem a fase de habilitação o art 39 da resolução tce pi n 27 2016 dispõe que o preenchimento eletrônico das informações relativas abertura de licitações deverá ocorrer até o dia útil imediatamente posterior ao da sua última publicação;LICITACAO
contas de gestão da prefeitura envio com atraso de prestações de contas mensais não envio de peças componentes da prestação de contas descumprimento da resolução tce pi n 09 2014 irregularidades em procedimentos licitatórios inadimplência junto eletrobrás fragmentação de despesas com serviços contábeis e jurídicos a realização de despesas relacionados ao mesmo objeto de forma contínua e fragmentada em cujo somatório ultrapassou o limite de dispensa de licitação previsto na lei n 8 666 93 enseja a aplicação de multa;LICITACAO
suspostas irregularidades em licitação improcedência atestados de capacidade técnica não identicos ao objeto licitado os atestados de capacidade técnica apresentados pelas licitantes não precisam necessariamente ser idênticos ao objeto licitado uma vez que o artigo 37 inciso xxi da cf 88 só exige qualificação técnica e econômica indispensável garantia do cumprimento das obrigações;LICITACAO
contas de gestão da prefeitura irregularidades em contratos de locação de veículos adesão a registro de preços contendo vícios irregularidades na sublocação de veículos irregularidades em inexigibilidade de licitações 1 embora com previsão legal a adesão ata de registro de preços requer a observância de formalidades para que o ente na condição de carona não recepcione eventuais vícios 1 a prática da subcontratação total do objeto configura negação ao procedimento licitatório e fere o princípio da igualdade bem como afronta o art 37 xxi da constituição federal de 1988 pois caso fosse admitida configuraria forma de se ludibriar a própria licitação adjudicando se o objeto contratual a não participante do certame 2 a contratação por inexigibilidade de licitação com fundamento no art 25 ii da lei 8 666 93 deve observar alguns requisitos quais sejam : a necessidade de procedimento administrativo formal b notória especialização do profissional a ser contratado c natureza singular do serviço d impossibilidade de prestação do serviço pelo quadro de servidores do contratante e justificativa de preço;LICITACAO
licitação fracionamento de despesa procedência 1 caracteriza se como fracionamento de despesa quando se divide a despesa para utilizar modalidade de licitação inferior recomendada pela legislação para o total da despesa ou para efetuar contratação direta mediante dispensa de licitação;LICITACAO
contrato contratação de empresas cujos sócios são servidores efetivos do órgão irregularidade 1 contratação de empresas cujos sócios são servidores efetivos do órgão é vedado pelo art 9 da lei n 8 666 93;LICITACAO
prestação de contas ocorrências encontradas em contratação emergencial de serviços com descumprimento do art 26 e art 38 da lei n 8666 93 dispensa de licitação a ocorrência apontada nesta proposta de decisão em virtude sobretudo de seu menor potencial lesivo e da irrelevância e imaterialidade de sua expressão monetária caracteriza se apenas como impropriedade e falta de natureza formal da qual não resultou dano ao erário;LICITACAO
denúncia p m de cajueiro da praia exercício de 2019 irregularidades no processo licitatório pregão presencial n 024 2019 destinado aquisição de peças e serviços automotivos para o referido município 1 o simples cancelamento de procedimento licitatório não implica obrigatoriamente na extinção do processo sobretudo quando o alegado cancelamento se dá após a instauração do competente processo de fiscalização nestes corte de contas 2 exigiu marca para o fornecimento de peças e ou acessórios genuínos sem justificativa plausível gerando restrição ao caráter competitivo da licitação capaz de afastar a propostas mais vantajosas para a administração;LICITACAO
ementa licitação contratação de empresa em que figura como sócio dirigente de órgão público violação ao art 9 iii da lei n 8 666 93 repercussão negativa na análise recursal 1 a participação em processo licitatório de servidor ou dirigente de órgão ou entidade contratante não é permitida nos termos do art 9 iii da lei n 8 666 93;LICITACAO
ementa : licitação irregularidades em processos licitatórios remanescente de fornecimento não demonstração das mesmas condições repercussão negativa o gestor não demonstrou as mesmas condições oferecidas pelo licitante vencedor na contratação remanescente de fornecimento seguida ordem de classificação em consequência de rescisão contratual assim sendo tal fato deverá repercutir negativamente na análise do processo de prestação de contas a impropriedade evidenciada não resultou dano ao erário julgamento de regularidade com ressalvas;LICITACAO
licitação insuficiência de publicidade ao pregão presencial 1 a instrução normativa tce n 06 2017 dispõe que o preenchimento eletrônico das informações relativas abertura do procedimento deverá ocorrer até o dia útil imediatamente posterior ao da última publicação do aviso de licitação;LICITACAO
prestação de contas licitação contratação de empresa impedida de contratar com a administração pública despesas realizadas sem licitação 1 a sanção de suspensão temporária de participação em licitação e impedimento de contratar com a administração prevista no art 87 inciso iii da lei 8 666 1993 alcança apenas o órgão ou a entidade que a aplicou;LICITACAO
representação supostas irregularidades na administração ausência de procedimento licitatório empresa fornecedora de propriedade da mãe do representado não observância dos princípios da impessoalidade e da moralidade administrativa 1 seguindo o entendimento do tribunal de contas da união e desta corte de contas entende se pela proibição de contratação direta de empresa cuja titularidade pertença a pessoa ligada por laços de parentesco ao gestor do órgão ou entidade contratante por caracterizar conflito de interesses 2 apesar da ausência de vedação expressa na lei n 8 666 93 da participação em licitação de parentes de servidores ou agentes políticos cabe ao ente responsável pelo certame observar atentamente os princípios norteadores da administração pública sobretudo os da moralidade isonomia impessoalidade e competitividade visando com isso a uma atuação administrativa voltada satisfação de interesses supraindividuais;LICITACAO
tomada de contas prefeitura municipal limpeza pública ausência de licitação ausência de recolhimento de encargos previdenciários não concessão de férias e não pagamento de décimo terceiro salário a ausência de procedimento licitatório para contratação de empresa para a execução de serviço de limpeza púbica e o desrespeito aos direitos dos trabalhadores que executam o serviço é falha grave que enseja o julgamento de irregularidade na execução o objeto;LICITACAO
ementa contrato administrativo fiscalização de obras reforma de unidade básica de saúde orçamento de referênncia incompleto pagamento da 1 medição sem o ateste do responsável pela fiscalização do contrato irregularidade no projeto básico o orçamento de referência deve detalhar os custos unitários nos termos do art 6 ix e x e art 12 da lei n 8 666 1993 constitui irregularidade o pagamento de serviços sem o devido ateste do agente público responsável pela fiscalização do contrato nos termos do art 61 e 63 2 iii da lei n 4 320 1964;LICITACAO
licitação decretação de emergência processos de inexigbilidade e dispensa de licitação contratação de bandas e festa fragmentação de despesa pagamentos acima do indicado exigências na contratação de profissionais do setor artístico apensamento ao processo a contratação de profissionais do setor artístico tem caráter personalíssimo e portanto não pode extravasar as disposições do art 25 iii da lei 8 666 93 ou seja contratação direta com o profissional ou contratação através de empresário exclusivo não temporário e comprovada consagração pela crítica especializada ou pela opinião pública desta feita recomenda se ainda que não sejam firmados contratos com empresas de eventos que possuam somente carta de exclusividade temporária vinculada a uma determinada data e local situação que se enquadra no caso concreto;LICITACAO
denuncia licitação irregularidades em procedimento licitatório contratação de prestador de serviços para realizar limpeza publica ausentes no projeto básico anexado ao sistema licitações web desta corte de contas o cronograma e relatório fotográfico e o detalhamento dos logradouros a serem prestados os serviços comprometimento da competitividade do certame 1 ausentes no projeto básico anexado ao sistema licitações web desta corte de contas o cronograma e relatório fotográfico e o detalhamento dos logradouros a serem prestados os serviços prejudicando a formulação de propostas dos pretensos licitantes;LICITACAO
alienação de bens sem autorização legislativa a alienação de bens sem autorização legislativa descumpre o art 17 i da lei n 8 666 1993 posto que a alienação de bens da administração pública em se tratando de imóveis subordina se existência de interesse público devidamente justificado precedida de avaliação e obediência a algumas normas elencadas no inciso;LICITACAO
denúncia irregularidades em procedimentos licitatórios para aquisição de combustíveis cancelamento do primeiro pregão perda do objeto inexistência de justificativa a contratação direta de outro fornecedor finalização do certame no sistema licitações web fora do prazo estabelecido procedência parcial 1 conforme a análise da documentação acostada aos autos pela dfam a existência de contrato para fornecimento de combustíveis ainda vigente torna sem justificativa a contratação direta de outro fornecedor ademais verificou se que a finalização do certame no sistema licitações web ocorreu fora do prazo estabelecido no art 7 da instrução normativa tce pi n 06 2017;LICITACAO
licitação subcontratação total do objeto irregularidade 1 nos termos do art 72 da lei n 8 666 1993 o contratado na execução do contrato sem prejuízo das responsabilidades contratuais e legais poderá subcontratar partes da obra serviço ou fornecimento até o limite admitido em cada caso pela administração;LICITACAO
prestação de contas prefeitura municipal de socorro do piauí exercício 2016 contas de gestão ausência de licitações fragmentação de despesas inadimplência com a eletrobrás e agespisa contratação indevida de fiscal de obras 1 não comprovada a realização de procedimento licitatório que regulamentasse os gastos apontados observadas as exigências da instrução normativa tce pi no 03 2015 e resolução tce pi n 39 2015 art 34 e ss 2 dos débitos com a eletrobrás inadimplência apurada até 31 12 2016 porém pagou faturas com incidência de encargos moratórios no exercício 2016 e agespisa município apresenta débito perante a concessionaria que parcelaram a dívida mas já acumulam novos débitos 3 a contratação apontada contraria o disposto no art 67 da lei n 8 666 93 a qual a execução do contrato deverá ser acompanhada e fiscalizada por um representante da administração especialmente designado;LICITACAO
licitação supostas irregularidades em pregão presencial ausência de publicação de cancelamento e lançamento de novo edital em diário oficial descumprimento do princípio da publicidade exigência de atestado de capacidade técnica expedido exclusivamente por pessoa jurídica de direito público irregularidade a não observância quanto ao princípio da publicidade tendo em vista o desarrazoado lapso temporal entre o ato de cancelamento do pregão e sua efetiva publicação em meio oficial comprometendo a validade do ato sobretudo pela publicação de novo procedimento para o mesmo objeto antes dessa última publicação a exigência de atestado de capacidade técnica expedido exclusivamente por pessoa jurídica de direito público em nome da licitante que prestou serviços compatíveis em características com o objeto da licitação acompanhado da publicação do contrato em diário oficial é requisito que extrapola a discricionariedade administrativa e portanto irregular;LICITACAO
auditoria concomitante sobrepreço em licitação para pavimentação em paralelepípedo cotação de insumo com base na realidade praticada no mercado de são paulo oneração excessiva do custo da obra ofensa eficiência e economicidade diante de expressiva diferença entre os valores consignados nos sistemas referenciais sincro e sinapi e os valores praticados no mercado é imprescindível que seja realizada ampla pesquisa do insumo ou seja adotada a referência de preço constante do banco da sefaz pi em busca dos reais valores para o caso concreto;LICITACAO
denúncia : irregularidade em decreto emergencial e em inexigibilidade de licitação demonstra se irregular o procedimento de inexigibilidade de licitação fundamentado no art 25 inciso i lei n 8 666 93 quando não restar devidamente comprovada a exclusividade do fornecedor;LICITACAO
auditoria ausência de competência técnica e legal licitação ausência de competência técnica e legal para licitar obras e serviços de engenharia art 29 m lei complementar estadual n 28 2003 c c art 7 1 da lei n 8 666 93;LICITACAO
prestação de contas fracionamento de despesas regularidade com ressalvas a lei federal n 8 666 93 em seu artigo 23 5 veda o fracionamento de despesas ato este que se caracteriza quando se divide a despesa para utilizar modalidade inferior recomendada pela legislação para o total da despesa ou para efetuar contratação direta a realização de licitação em obediência aos dispositivos normativos da lei n 8 666 93 é conduta imprescindível a ser adotada por todo e qualquer gestor público;LICITACAO
licitação inexigibilidade ausência de comprovação de singularidade dos serviços jurídicos regularidade com ressalvas registre se que por não se constituir de natureza singular e haver vários outros profissionais do ramo que poderiam prestá lo haveria a necessidade de ser realizado procedimento licitatório lado outro impõe se a prova da singularidade hipótese que não veio aos autos capazes de amparar as alegações da parte autora;LICITACAO
contas de gestão da prefeitura contratação de serviços advocatícios por inexigibilidade de licitação sem demonstração dos requisitos legais irregularidades em procedimentos licitatórios inadimplência junto eletrobrás descumprimento da resolução tce pi n 39 2015 : a art 38 atraso em cadastros de avisos relativos abertura de licitações b art 39 atraso na finalização dos procedimentos licitatórios no sistema licitações web 1 é vedada a contratação de serviços advocatícios por meio de inexigibilidade de licitação com fulcro no artigo 25 inciso ii c c artigo 13 inciso ii da lei n 8 666 93 sem demonstração dos requisitos necessários contratação 2 a reiteração de falhas atinentes aos procedimentos licitatórios cujo montante contratado mostra se elevado seja em razão de inexigibilidade sem comprovação de singularidade de contratação ausência de publicação de contratos e aditivos aditivos assinados fora do prazo de vigência dentre outras irregularidades demonstra se grave na medida em que se evidencia a ausência de embasamento legal para as despesas;LICITACAO
ementa contas de gestão ausência de licitação inobservância ao princípio da adjudicação compulsória ocorrências insuficientes para um julgamento contrário das contas as despesas realizadas com credor diferente do adjudicado remetem se ao fato de que foi para manutenção de veículo com a empresa autorizada da marca obrigatoriamente pela permanência da garantia de fábrica;LICITACAO
denúncia pregão presencial contradição quanto ao critério de julgamento estabelecido para seleção das propostas violação ao princípio da economicidade ausência de motivação idônea e razoável a justificar a exigência de licença ambiental restando configurada a restrição da competição no certame 1 diante do silêncio do gestor e da análise procedida pela divisão técnica deste tce e ainda a manifestação do ministério público de contas ratificam se as informações levantadas entendendo assim procedente a presente denúncia;LICITACAO
licitação irregularidades em processos licitatórios irregularidade na adesão ata de registro de preços irregularidade na contratação de empresa dentre outros 1 deve haver o cumprimento de requisitos conforme entendimento estabelecido pela jurisprudência do tcu acórdão 212 2017 2 cabe ao responsável pelo certame observar atentamente aos princípios norteadores da administração pública sobretudo o da moralidade e da impessoalidade dispostos no art 37 da constituição federal;LICITACAO
denúncia irregularidade na modalidade de licitação adotada sobre a modalidade de licitação adotada não sendo a propriedade imobiliária da municipalidade decorrente de procedimentos judiciais ou de dação em pagamento não se enquadrando também nas hipóteses previstas nas demais alíneas do inciso i do art 17 da lei n 8 666 93 deveria a administração ter se valido de procedimento na modalidade concorrência e não realizado um leilão entende se que a utilização de modalidade de licitação menos complexa do que a prevista para a hipótese implica por si só a nulidade do procedimento levado a efeito em razão da consequente restrição indevida da competitividade do certame licitatório desta feita procedente a denúncia em relação irregularidade na modalidade de licitação adotada;LICITACAO
representação suposto direcionamento no procedimento licitatório pregão presencial n 001 2018 cujo objeto seria a contratação de empresa para aquisição de combustíveis e lubrificantes para motores de poços tubulares e veículo a análise do caso concreto mostra que foi realizado procedimento licitatório tendo como único interessado o único posto de combustíveis do município não enxergar tal situação como um caso excepcional prejudicaria o interesse público e poderia gerar injustificado ônus financeiro administração;LICITACAO
denúncia irregularidade em procedimento licitatório alteração do edital de licitação sem a devida republicação e sem reabertura de prazo ausência de disponibilização da planilha de custos e outros anexos no sistema licitações web 1 verificou se a alteração no edital quanto ao acréscimo de valor destinado a encargos sociais e diminuição da quantidade de combustível óleo diesel a ser utilizado mensalmente sem que fosse realizada nova divulgação do edital e sem reabertura do prazo para os interessados nos termos do que dispõe o art 21 4 da lei 8 666 1993 2 foi disponibilizado apenas o edital do procedimento licitatório no sistema licitações web sem que constassem seus respectivos anexos tais como a planilha de custos com os itens quantidades e valores a serem contratados em descumprimento ao que determina o disposto no artigo 38 parágrafo único da resolução tce pi n 27 2016;LICITACAO
prestação de contas de gestão fundeb licitação irregularidades 2 verificou se o empenho anterior data de homologação do contrato referente ao pp n 001 2017 e o pagamento de despesa superior ao valor homologado 3 tal fato fere o princípio da igualdade da licitação ao prejudicar a escolha da melhor proposta visto que antes de realizar a licitação já havia previsão de pagamento para o vencedor do certame;LICITACAO
denúncia cajueiro da praia exercício 2017 supostas irregularidades no procedimento licitatório de inexigibilidade n 007 2017 para contratação de apresentação artística em comemoração ao xvi festival junino nos dias 28 e 29 de julho de 2017 insuficiência de provas dos fatos alegados processo respaldado no art 25 iii da lei 8 666 93 improcedência da denúncia conforme o art 25 iii da lei 8 666 93 é inexigível a licitação quando houver inviabilidade de competição em especial para contratação de profissional de qualquer setor artístico diretamente ou através de empresário exclusivo desde que consagrado pela crítica especializada ou pela opinião pública exigências essas atendidas e demonstradas documentalmente pela defesa no transcurso no processo de inexigibilidade em questão;LICITACAO
irregularidades em procedimentos licitatórios : licença ambiental e termo de cooperação técnica apresentados após a fase preliminar da licitação demonstra se necessária a expedição de licença ambiental para a contratação e execução de obra rodoviária conforme determina a resolução n 237 1997 do conselho nacional do meio ambiente objetivando não causar dano ao meio ambiente tratando se de obra rodoviária a ser realizada pelo estado em território municipal demonstra se imprescindível a existência de termo de anuência pública ou declaração de cooperação técnica da área em razão da autonomia administrativa do município;LICITACAO
agente político irregularidades em pregões presenciais contratação por inexigibilidade com favorecimento procedência da denúncia 1 não obstante não haja norma proibitiva expressa de contratação de empresas ligadas a doadores de campanha eleitoral na condição de pessoa física sua contratação direta por inexigibilidade demonstra forte indício de favorecimento e compromete o princípio da moralidade 2 direcionamento ou favorecimento do certame em prol de empresas efetivamente contratadas constitui grave afronta ao princípio da impessoalidade;LICITACAO
prestação de contas falhas em procediemntos licitatórios irregularidades nos procediemtnos de inexigibilidade de licitação inobservancia ao princípio da economicidade em contratação após analise da defesa apresentada ao gestor restaram não sanadas falhas de natureza grave que ensejam a reprovação das contas em comento destaca se a inobservância ao pinciípio da economicidade na qual a auditoria constatou fl 23 da peça 29 que as despesas com manutenção de veículos ultrapassaram 50 do valor anual de mercado constante na tabela fipe contrariando os termos do art 10 do decreto n 14 386 2011;LICITACAO
ausência de licitação obrigatória 1 em consulta s despesas realizadas no período em confronto com os procedimentos prévios necessários regular contratação conforme legislação regulamentadora das licitações e contratos no âmbito da administração pública constatou se a existência de despesas realizadas no período sem os respectivos processos licitatórios conforme se verifica peça 19 fls 65 a 87 foram anexadas aos autos fls 07 40 peça 39 cópia do pregão presencial n 16 2016 com data de abertura em 09 06 2016 contendo as seguintes peças : comprovantes de publicação na imprensa oficial do aviso de licitação e do extrato de contrato ata de reunião para julgamento da habilitação e propostas de preço propostas de preço do licitante vencedor e o cadastramento e a finalização do procedimento licitatório no sistema licitações web tce pi como se observa o procedimento licitatório teve início em 09 06 2016 não acobertando as despesas acima realizadas razão pela qual se considera a ocorrência não sanada;LICITACAO
auditoria p m de cristino castro acompanhamento da fase externa de procedimento licitatório tomada de preços n 003 20 1 ausência da justificativa técnica e econômica para realização de licitação em lote único conforme exige o art 23 1 da lei n 8666 93;LICITACAO
