arquivo;ano_mes;sumario;ementa;informacoes;area_tematica;decisao_tipo;decisao_numero;decisao_ano;assunto_agrupado;rank;prioridade
Boletim de Jurisprudência TCE-PI - Agosto- 19.docx;2019-08;Responsabilidade. Necessidade de instalar controle interno.;"EMENTA. PRESTAÇÃO DE CONTAS DA COORDENADORIA REGIONAL DA SAÚDE XIII – BOM JESUS/PI. EXERCÍCIO 2017. IRREGULARIDADES NA FORMALIZAÇÃO DOS CONTRATOS. IRREGULARIDADE EM PROCEDIMENTO DE INEXIGIBILIDADE DE LICITAÇÃO NA CONTRATAÇÃO DE ASSESSORIA CONTÁBIL. AUSÊNCIA DE CÓPIAS DOS CONTRATOS FIRMADOS COM O FORNECEDOR DOS SERVIÇOS. AUSÊNCIA DO NÚCLEO DE CONTROLE INTERNO 
1. A ausência de publicação do contrato no diário oficial não é motivo para a nulidade de todos os atos praticados, no entanto, faz-se imprescindível seja determinado ao gestor que proceda imediatamente à publicação do ajuste; 
2. Não é pelo simples fato de ser uma atividade técnico profissional especializada, como é o caso da assessoria técnico-contábil, que a tornaria um serviço singular. A singularidade do serviço será aferida em cada caso concreto;
3. Infringindo o art. 38, inciso X, da Lei n° 8.666/93, Encaminhamento de documentos somente por oportunidade da Defesa não tem o condão de desconstituir a falha, uma vez que retira a possibilidade desta Corte, tempestivamente, analisar o contrato. 
4. Contrariando o art. 74 da CF/88, art. 90 da CE, Decreto Estadual n° 11.434/2004, o Decreto n° 17.526/17, e Instrução Normativa TCE/PI n° 05/17, de 16/10/17. limitações financeiras ou de pessoal não eximes o gestor do dever constitucional de instalar o controle interno";(Prestação de Contas. Processo  – Relatora: Consª. Lilian de Almeida Veloso Nunes Martins. Segunda Câmara. Decisão Unânime. Acórdão nº 1.158/19 publicado no );RESPONSABILIDADE;acordao;1158;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Abril - 19.docx;2019-04;Responsabilidade. Falecimento do gestor.;"PRESTAÇÃO DE CONTAS. NÃO REMANESCÊNCIA DE OCORRÊNCIAS GRAVES APÓS O CONTRADITÓRIO. AUSÊNCIA DE DANO AO ERÁRIO. FALECIMENTO DO GESTOR
As falhas remanescentes após o contraditório não tem o condão de ensejar um julgamento de irregularidade.
Tendo em vista o falecimento do gestor, não é devida a imputação de multa pelo atraso no envio de documentação referente ao período de sua gestão.";(Prestação de Contas. Processo 6 – Relator Cons. Joaquim Kennedy Nogueira Barros. Segunda Câmara. Decisão Unânime. Acórdão nº 383/19 publicado no );RESPONSABILIDADE;acordao;383;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Abril - 19.docx;2019-04;Responsabilidade. Gestor não pode ser responsabilizado pelo pagamento de multas e juros. Ausência de recursos financeiros. Sem dolo ou culpa do gestor.;"LICITAÇÕES E CONTRATOS. FRAGMENTAÇÃO DE DESPESAS. PESSOAL. CONTRATAÇÃO IRREGULAR DE PROFESSORES. IRREGULARIDADE NA PUBLICAÇÃO DE CONTRATO ADMINISTRATIVO. PREVIDENCIÁRIO. ATRASO NO RECOLHIMENTO DE OBRIGAÇÕES. IRREGULARIDADE NO REGISTRO DE INFORMAÇÕES NO SISTEMA SAGRES/TCE – PI. INADIMPLÊNCIA JUNTO À ELETROBRÁS E AGESPISA. 
1 - Irregularidades em licitações e contratos com equipamentos de processamento de dados, festividades e homenagens, manutenção da rede de abastecimento de água; Fragmentação de despesas com equipamentos hidráulicos e manutenção de bombas, contrariando a Lei de Licitação nº 8.666/93; 
2 - Contratação de professores sem observância aos preceitos legais, não houve a comprovação da realização de processo seletivo simplificado para suprir temporariamente a demanda de pessoal do município até a concretização do Concurso Público, conforme art. 37, incisos II e IX, da CF/88. 
3 - Pagamento de juros e multas pelo atraso no recolhimento de obrigações, o gestor não pode ser responsabilizado pelo pagamento de juros e multas, haja vista que apenas gere o dinheiro público, de forma que a ausência de recursos financeiros para pagamento de determinadas contas não foi ocasionado por dolo ou culpa.";(Prestação de Contas. Processo  – Relator Cons. Luciano Nunes Santos. Primeira Câmara. Decisão unânime. Acórdão nº 541/19 publicado no );RESPONSABILIDADE;acordao;541;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - SETEMBRO - 19.docx;2019-09;Responsabilidade. Principio constitucional da legalidade. Não teve como corrigir a situação irregular consolidada ao longo de gestões anteriores.;"RECURSO DE RECONSIDERAÇÃO PRESTAÇÃO DE CONTAS DO FMS. CONTRATAÇÃO TEMPORÁRIA DE PROFISSIONAIS DE SAÚDE SEM ATENDIMENTO ÀS EXIGÊNCIAS LEGAIS. IMPOSSIBILIDADE DE PROCEDER A NOVAS CONTRATAÇÕES DEVIDO AO PERÍODO ELEITORAL. NECESSIDADE DE MANTER A CONTINUIDADE DE PROGRAMAS FEDERAIS. BOA-FÉ DA GESTORA. 
1 - Não obstante o reconhecimento da irregularidade apurada durante o processo de prestação de contas, a atuação da ex-gestora foi amparada pelo princípio constitucional da legalidade, haja vista a observância ao art. 73 da lei nº 9.504/97, de modo que, no curto período de sua gestão, realmente não havia como corrigir situação irregular consolidada ao longo de gestões anteriores. 
2 - Diante da não apresentação de elementos novos em sede recursal, entende-se pela razoabilidade do julgamento exarado no acórdão vergastado, que deixou de aplicar multa à gestora.";(Recurso. Processo  – Relator: Joaquim Kennedy Nogueira Barros. Plenário. Decisão Unânime. Acórdão nº 1.437/19 publicado no );RESPONSABILIDADE;acordao;1437;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Novembro - 19.docx;2019-11;Responsabilidade. Prestação de Contas. Ausência de peças exigidas pela Resolução TCE 09/2014. Balanço Incompleto. Falhas que ensejam aplicação de multa.;"PRESTAÇÃO DE CONTAS. PREFEITURA MUNICIPAL DE SIMPLÍCIO MENDES. CONTAS DE GOVERNO. EXERCÍCIO 2015. ATRASO NA ENTREGA DAS PRESTAÇÕES DE CONTAS MENSAIS. PEÇAS AUSENTES EXIGIDAS PELA RESOLUÇÃO TCE Nº 09/2014. ATRASO NA ENTREGA DA PRESTAÇÃO DE CONTAS ANUAL. DESCUMPRIMENTO DO LIMITE MÍNIMO CONSTITUCIONAL COM DESPESA COM MANUTENÇÃO E DESENVOLVIMENTO DE ENSINO. BALANÇO FINANCEIRO INCOMPLETO. DIVERGÊNCIA NO DEMONSTRATIVO DA DÍVIDA FLUTUANTE.
1. o envio apenas em sede de Defesa prejudica a análise das contas da municipalidade. De acordo com a Resolução TCE/PI nº 09/2014, o envio deve ser eletrônico, pelo sistema Documentação Web. Em relação ao Demonstrativo Simplificado do Relatório Resumido da Execução Orçamentária, apesar da possibilidade de remessa semestral, em consulta ao sistema Documentação Web, 2015, Simplício Mendes, 2º semestre, não se verificou o envio eletrônico do referido demonstrativo; 
2. no tocante ao descumprimento do limite dos gastos com a manutenção e desenvolvimento do ensino, é sabido que esta Corte de Contas já se manifestou, em algumas oportunidades, no sentido de considerar tanto a despesa quanto a receita como tendo ocorrido no efetivo exercício do pagamento, o que serviria, no presente caso, para elevar o índice do exercício 2015 e reduzir o índice do exercício 2014, que passaria a ser de apenas 23,50%, interferindo, portanto, na prestação de contas do exercício anterior já devidamente processada e julgada. Portanto, ainda que aplicássemos esse entendimento no presente caso, a falha continuaria não sanada, tendo em vista que o índice de gastos com o MDE subiria apenas para 24,9% no exercício 2015, ainda inferior ao limite mínimo previsto constitucionalmente; 3. Por fim, tendo em vista que após o contraditório remanesceram falhas referentes aos atrasos no envio das prestações de contas, a multa automática será aplicada, com fulcro nos arts. 79 VII e VIII da Lei 5.888/09, c/c art. 206, Inciso VIII, do RITCE, com valor a ser calculado pela Secretaria das Sessões, por dia de atraso, nos moldes previstos pelo art. 3º da Instrução Normativa TCE/PI nº 05/2014.";(Prestação de Contas. Processo 5 – Relatora: Cons. Lilian de Almeida Veloso Nunes Martins. Segunda Câmara. Decisão Unânime. Parecer Prévio nº 131/19 publicado no 9);RESPONSABILIDADE;parecer;131;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Março - 19.docx;2019-03;Responsabilidade. Responsabilidade do Chefe do Executivo. Parcelamento de dívida previdenciária.;"PEDIDO DE REVISÃO. AUSÊNCIA DE PARCELAMENTO DA DÍVIDA PREVIDENCIÁRIA. NÃO ENVIO DO BALANÇO ORÇAMENTÁRIO. RESPONSABILIDADE DO CHEFE DO PODER EXECUTIVO.
1 Cabe ao Chefe do Poder Executivo encaminhar projeto de lei à Câmara Municipal solicitando o devido parcelamento da dívida previdenciária, conforme previsão legal, afastando, a priori, qualquer responsabilidade do gestor do RPPS. 
2 A responsabilidade pelo envio das peças de Balanço Geral e Prestação de Contas Anual do Fundo Municipal de Previdência Social é de responsabilidade do gestor do Poder Executivo.";(Recurso. Processo  – Relator Cons. Joaquim Kennedy Nogueira Barros. Plenário. Decisão por Maioria. Acórdão nº 401/19  publicado no 9);RESPONSABILIDADE;acordao;401;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Março - 19.docx;2019-03;Responsabilidade. Ausência de fiscalização. Conduta negligente. Culpa in eligendo.;"TOMADA DE CONTAS ESPECIAL. OCORRÊNCIA DE FALHAS NO PROCESSAMENTO E ACOMPANHAMENTO DOS REFERIDOS CONVÊNIOS, BEM COMO NA EXECUÇÃO. RECORRÊNCIA DE FATOS. MULTA AO SECRETÁRIO POR CULPA IN ELIGENDO. NEXO DE CAUSALIDADE E DANO AO ERÁRIO.
Apurado os fatos, identificados os responsáveis e quantificado os danos, aplicam-se as sanções previstas: Imputação de débito no montante correspondente ao valor atualizado do dano ao erário quantificado na Tomada de Contas Especial; aplicação de sanção de inabilitação para o recebimento de recursos públicos ao gestor responsável, devendo se estender o impedimento a qualquer entidade por ele presidida ou que o tenha em seu quadro diretivo ou estatuto social, nos termos do art. 77, III da Lei n° 5.888/09 e art. 210, II e III do Regimento Interno desta Corte. Nos termos no art. 79, inciso I da Lei nº 5.888/09 c/c art. 260, I e II, do Regimento Interno desta Corte, aplica-se multa quando verificada a recorrência de escolhas/atitudes da parte que caracterizaram a sua culpa in eligendo. In casu, há a culpa in eligendo na escolha de entidade sem capacidade técnica para a execução do ajuste bem como uma atuação ativa negligente na condução do seu dever de fiscalizar. Quando não for possível comprovar o nexo de causalidade entre qualquer conduta e o dano em decorrência da inexecução do Convênio determina-se a exclusão de responsabilidade.";(Tomada de Contas Especial. Processo 7 – Relator: Cons. Luciano Nunes Santos. Plenário. Decisão Unânime. Acórdão nº 306/19 publicado no 9);RESPONSABILIDADE;acordao;306;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - junho - 19.docx;2019-06;Responsabilidade. Gestor deve comprovar a realização de licitação que subsidiou a contratação.;"PRESTAÇÃO DE CONTAS.
Irregularidades em licitações e contratos. O gestor deve comprovar a realização da licitação que subsidiou a contratação, objetivando a legalidade do gasto, com a devida publicação, contendo os elementos consignados na Instrução Normativa n° 03/2015 TCE/PI.";(Prestação de Contas. Processo  – Relator Cons. Subst. Jackson Nobre Veras. Primeira Câmara. Decisão unânime. Acórdão nº 703/19 publicado no );RESPONSABILIDADE;acordao;703;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - junho - 19.docx;2019-06;Responsabilidade. Incompetência dos tribunais de contas para atuar na salvaguarda de Diretos Trabalhista.;"DENUNCIA. SUPOSTA IRREGULARIDADE REFERENTE AO NÃO PAGAMENTO DOS SALÁRIOS DOS TERCEIRIZADOS DA SASC. TCE NO EXERCÍCIO DO CONTROLE EXTERNO NÃO TEM COMPETÊNCIA PARA ATUAR NA SALVAGUARDA DIREITOS TRABALHISTAS DE EMPREGADOS DE EMPRESA DE TERCEIRIZAÇÃO DE MÃO DE OBRA, ATUAÇÃO COMPETE AO MINISTÉRIO PÚBLICO DO TRABALHO E À JUSTIÇA DO TRABALHO. NÃO RESPONSABILIZAÇÃO DOS GESTORES E OREDENADORES DE DESPESAS.
1. Os Tribunais de Constas do Estado no exercício do controle externo não tem competência para atuar na salvaguarda de direitos trabalhistas de empregados de empresa de terceirização de mão de obra, tal atuação compete ao Ministério Público do Trabalho e à Justiça do Trabalho e que não há nos autos informação de que o Estado tenha sido chamado a responder em ação trabalhista referente aos contratos de terceirização da SASC, não há que se falar em responsabilização dos gestores e ordenadores de despesa.";(Denúncia. Processo  – Relator: Cons. Subst. Delano Carneiro da Cunha Câmara. Redator Cons. Luciano Nunes Santos. Plenário. Decisão Unânime. Acórdão nº 774-H/19. Publicado no );RESPONSABILIDADE;acordao;774-H;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - julho - 19.docx;2019-07;Responsabilidade. Comprovação de atualização da página da internet. Pena de multa e outras medidas cabíveis. Lei de acesso a informação. Portal da Transparência.;"LEI DE ACESSO À INFORMÇÃO. LEI DA TRANPARÊNCIA. PORTAL DA TRANSPARÊNCIA. PREFEITURA MUNICIPAL AVELINO LOPES. PROCEDÊNCIA 
1 - O Prefeito Municipal no prazo de 30 (trinta) dias deve comprovar a este tribunal as alterações no sítio eletrônico do município, de forma a adequar e atualizar a referida página na Internet conforme disciplina a Lei Complementar nº 101/2000 (mormente o artigo 48, caput, do referido diploma), Lei nº 12.527/2011 (artigo 8º) e Instrução Normativa n° 03/2015, sob pena de multa além de outras medidas cabíveis; 
2- Comunicação ao Promotor de Justiça da Comarca.";(Representação. Processo  – Relatora: Consª. Lilian de Almeida Veloso Nunes Martins. Segunda Câmara. Decisão Unânime. Acórdão nº 1.160/19 publicado no );RESPONSABILIDADE;acordao;1160;2019.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Dezembro-18 (definitivo).docx;2018-12;Responsabilidade. Incerteza na contribuição do gestor para as falhas apontadas. Exclusão de multa.;"PROCESSUAL. REEXAME DE ADMISSÃO. PROVIMENTO PARCIAL COM EXCLUSÃO DE MULTA.
1. Não sendo possível precisar se o recorrente contribuiu para as falhas apontadas nos autos, admite-se a exclusão de multa a ele aplicada.";(Pedido de Reexame. Processo  – Relator: Cons. Jaylson Fabianh Lopes Campelo. Plenário. Decisão Unânime. Acórdão nº 2.064/18 publicado no );RESPONSABILIDADE;acordao;2064;2018.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Setembro - 18.docx;2018-09;Responsabilidade. Irregularidade em edital de concurso iniciado e concluído em gestão anterior.;"PEDIDO DE REEXAME. VÍCIOS DE RESPONSABILIDADE DO GESTOR ANTERIOR. PROVIMENTO. 
Não há como atribuir ao gestor atual vícios de edital de concurso iniciado e concluído em exercício anterior ";(Pedido de Reexame. Processo  – Relatora: Cons.ª Waltânia Maria N. de Sousa Leal Alvarenga. Plenário. Decisão Unânime. Acórdão nº 1.389/18 publicado no DOE/TCE-PI º 174/18);RESPONSABILIDADE;acordao;1389;2018.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Agosto-Dezembro - 17 - Consolidação semestral..docx;2017-12;Responsabilidade. Parcelamento de dívidas.;"EMENTA. RESPONSABILIDADE. INADIMPLÊNCIA JUNTO À ELETROBRÁS. IRREGULARIDADE.
1.	 O parcelamento de dívidas não impossibilita a repercussão nas contas do gestor público.";(Denúncia. Processo  – Relator: Cons. Jaylson Fabianh Lopes Campelo. Primeira Câmara. Decisão unânime. Acórdão nº 2.465/2017 publicado no );RESPONSABILIDADE;acordao;2465;2017.0;RESPONSABILIDADE;9;0
Boletim de Jurisprudência TCE-PI - Abril - 19.docx;2019-04;Responsabilidade. Papel do gestor como guardião do patrimônio e interesse público. Empresa proibida de contratar com o serviço público.;"REPRESENTAÇÃO. CONTRATAÇÃO DE EMPRESA PROIBIDA DE CONTRATAR COM O PODER PÚBLICO. IMPROCEDÊNCIA.
1. É dever do Gestor, o papel que lhe foi reservado de guardião do patrimônio e do interesse públicos, ser o mais precavido possível quando das contratações, para que não formalize parcerias com empresas proibidas de contratar com o Poder Público. A suspensão dos pagamentos e não realização de novas despesas com a empresa, logo que recebeu a recomendação desta Corte de Contas, tem o condão de sanar parcialmente a ocorrência apontada.";(Representação. Processo  – Relator: Cons. Kleber Dantas Eulálio. Primeira Câmara. Decisão Unânime. Acórdão nº 598/19 publicado no );RESPONSABILIDADE;acordao;598;2019.0;RESPONSABILIDADE;9;0
